surah,ayah,source_slug,source_title,latin_iast,latin_ascii
1,1,rawai_al_bayan,Rawai Al Bayan Bengali translation,parama karuṇāmaẏa ati daẏālu āllāhara nāme.,parama karunamaya ati dayalu allahara name.
1,1,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,"parama karuṇāmaẏa, asīma daẏālu āllāhara nāme (śuru karachi).","parama karunamaya, asima dayalu allahara name (suru karachi)."
1,1,taisirul_quran,Taisirul Quran Bengali translation,(ārambha karachi) parama karuṇāmaẏa asīma daẏāmaẏa āllāhara nāme.,(arambha karachi) parama karunamaya asima dayamaya allahara name.
1,1,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"rahamāna, rahīma āllāhra nāme","rahamana, rahima allahra name"
1,1,fathul_majid,Fathul Majid Bengali translation,"āllāhara nāme śuru karachi, yini parama karuṇāmaẏa o ati daẏālu.","allahara name suru karachi, yini parama karunamaya o ati dayalu."
1,2,rawai_al_bayan,Rawai Al Bayan Bengali translation,"samasta praśaṃsā āllāhara janya, yini sṛṣṭikulera rava.","samasta prasamsa allahara janya, yini srstikulera rava."
1,2,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,"āllāharai janya samasta praśaṃsā, yini viśvajagatera rāvva.","allaharai janya samasta prasamsa, yini visvajagatera ravva."
1,2,taisirul_quran,Taisirul Quran Bengali translation,yāvatīẏa praśaṃsā jagatsamūhera pratipālaka āllāharai janya.,yavatiya prasamsa jagatsamuhera pratipalaka allaharai janya.
1,2,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"sakala ‘hāmda’ āllāhra , yini sṛṣṭikulera rava,","sakala ‘hamda’ allahra , yini srstikulera rava,"
1,2,fathul_majid,Fathul Majid Bengali translation,samasta praśaṃsā ekamātra āllāhara janya yini jagatasamūhera pratipālaka.,samasta prasamsa ekamatra allahara janya yini jagatasamuhera pratipalaka.
1,3,rawai_al_bayan,Rawai Al Bayan Bengali translation,"daẏāmaẏa, parama daẏālu, parama karuṇāmaẏa, ati daẏālu.","dayamaya, parama dayalu, parama karunamaya, ati dayalu."
1,3,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,"yini parama daẏālu, atiśaẏa karuṇāmaẏa.","yini parama dayalu, atisaya karunamaya."
1,3,taisirul_quran,Taisirul Quran Bengali translation,yini parama karuṇāmaẏa ati daẏālu.,yini parama karunamaya ati dayalu.
1,3,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"daẏāmaẏa, parama daẏālu,","dayamaya, parama dayalu,"
1,3,fathul_majid,Fathul Majid Bengali translation,"yini parama karuṇāmaẏa, atiśaẏa daẏālu.","yini parama karunamaya, atisaya dayalu."
1,4,rawai_al_bayan,Rawai Al Bayan Bengali translation,vicāra divasera mālika.,vicara divasera malika.
1,4,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,yini vicāra dinera mālika.,yini vicara dinera malika.
1,4,taisirul_quran,Taisirul Quran Bengali translation,yini pratiphala divasera mālika.,yini pratiphala divasera malika.
1,4,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,vicāra dinera mālika.,vicara dinera malika.
1,4,fathul_majid,Fathul Majid Bengali translation,yini pratiphala divasera mālika.,yini pratiphala divasera malika.
1,5,rawai_al_bayan,Rawai Al Bayan Bengali translation,āpanārai āmarā ivādāta kari evaṃ āpanārai nikaṭa āmarā sāhāyya cāi.,apanarai amara ivadata kari evam apanarai nikata amara sahayya cai.
