surah,ayah,latin_iast,latin_ascii
1,1,(ārambha karachi) parama karuṇāmaẏa asīma daẏāmaẏa āllāhara nāme.,(arambha karachi) parama karunamaya asima dayamaya allahara name.
1,2,yāvatīẏa praśaṃsā jagatsamūhera pratipālaka āllāharai janya.,yavatiya prasamsa jagatsamuhera pratipalaka allaharai janya.
1,3,yini parama karuṇāmaẏa ati daẏālu.,yini parama karunamaya ati dayalu.
1,4,yini pratiphala divasera mālika.,yini pratiphala divasera malika.
1,5,āmarā kevala tomārai ‘ivādāta kari evaṃ kevalamātra tomārai sāhāyya prārthanā kari.,amara kevala tomarai ‘ivadata kari evam kevalamatra tomarai sahayya prarthana kari.
1,6,āmāderake sarala saṭhika patha pradarśana kara o tāra prati aṭuṭa thākāra tāophīka dāna kara.,amaderake sarala sathika patha pradarsana kara o tara prati atuta thakara taophika dana kara.
1,7,"tādera patha, yādera prati tumi anugraha karecha. tādera patha, yārā gayavaprāpta (iẏāhūdī) o pathabhraṣṭa (khrisṭāna) naẏa.","tadera patha, yadera prati tumi anugraha karecha. tadera patha, yara gayavaprapta (iyahudi) o pathabhrasta (khristana) naya."
2,1,"ālipha, lāma, mīma.","alipha, lama, mima."
2,2,"eṭā ai (mahāna) kitāva yāte kona sandeha nei, muttākīdera janya patha nirdeśa.","eta ai (mahana) kitava yate kona sandeha nei, muttakidera janya patha nirdesa."
2,3,"yārā gāẏavera prati īmāna āne, nāmāya kāẏima kare evaṃ āmi ye jīvanopakaraṇa tāderake diẏechi tā theke tārā vyaẏa kare.","yara gayavera prati imana ane, namaya kayima kare evam ami ye jivanopakarana taderake diyechi ta theke tara vyaya kare."
2,4,āra tomāra prati yā nāyila haẏeche o tomāra pūrve yā nāyila haẏeche tāte tārā viśvāsa sthāpana kare evaṃ parakālera pratio tārā niścita viśvāsī.,ara tomara prati ya nayila hayeche o tomara purve ya nayila hayeche tate tara visvasa sthapana kare evam parakalera pratio tara niscita visvasi.
2,5,"tārāi tādera pratipālakera hidāẏātera upara pratiṣṭhita āche, āra tārāi saphalakāma.","tarai tadera pratipalakera hidayatera upara pratisthita ache, ara tarai saphalakama."
2,6,"niścaẏa yārā kupharī kareche tāderake tumi bhaẏa dekhāo āra nā dekhāo ubhaẏaṭāi tādera janya samāna, tārā īmāna ānave nā.","niscaya yara kuphari kareche taderake tumi bhaya dekhao ara na dekhao ubhayatai tadera janya samana, tara imana anave na."
2,7,"āllāha tādera antara o kānera upara mohara kare diẏechena, āra tādera cokhe āche āvaraṇa āra tādera janya āche mahā śāsti.","allaha tadera antara o kanera upara mohara kare diyechena, ara tadera cokhe ache avarana ara tadera janya ache maha sasti."
